,question,is_correct,num_characters,num_words,num_sentences,transformed_text
1164,Which of these U.S. presidents was NEVER a vice president?,1,58,11,1,presid never vice presid
1167,What was the nickname of the first manned airplane to break the sound barrier?,1,78,15,1,nicknam first man airplan break sound barrier
1169,"During part of the Cold War, what city's MLB team added the word “legs” to its name?",1,84,22,1,part cold war citi mlb team ad word leg name
1172,Which company’s 2012 smartphones included Beats Audio technology?,0,65,11,1,compani 2012 smartphon includ beat audio technolog
1175,Which of these people has won the most Emmys for Outstanding Host of a Reality TV Show?,0,87,18,1,peopl emmi outstand host realiti tv show
1177,Sprinter Justin Gatlin once ran a record-breaking 100 meter sprint thanks to what advantage?,1,92,15,1,sprinter justin gatlin ran 100 meter sprint thank advantag
1179,The author of which classic work was widely known for his hatred of the Eiffel Tower?,0,85,17,1,author classic work wide known hatr eiffel tower
1181,Which of these refers to asking someone to an end-of-school-year dance?,0,71,12,1,refer ask someon danc
1184,How would you say “hello” in Mandarin Chinese?,0,46,11,1,would say hello mandarin chines
1187,Which of these newspapers was founded most recently?,0,52,9,1,newspap found recent
1190,"In diamond rings, what shape best describes a “princess” cut?",0,61,14,1,diamond ring shape best describ princess cut
1193,Which of these rivers forms at least part of the boundary of four U.S. states?,0,78,16,1,river form least part boundari four state
1196,Which brand of sparkling water was commercially introduced first?,1,65,10,1,brand sparkl water commerci introduc first
1199,"What author is credited with coining the opening line, “It was a dark and stormy night”?",1,88,20,1,author credit coin open line dark stormi night
1200,What type of tutu was designed for Balanchine’s New York City Ballet?,0,69,15,1,type tutu design balanchin new york citi ballet
1203,Which Supreme Court Chief Justice's portrait has NOT appeared on official U.S paper currency?,0,93,16,1,suprem court chief justic portrait appear offici paper currenc
1205,Lady Godiva allegedly disrobed and rode a horse through the streets to oppose what?,1,83,15,1,ladi godiva allegedli disrob rode hors street oppos
1208,The person who helps a weightlifter is typically known as what?,0,63,12,1,person help weightlift typic known
1211,“Alice’s Adventures in Wonderland” features which of these characters?,0,70,14,1,alic adventur wonderland featur charact
1214,Which of these places calls itself “The City of Brotherly Love”?,0,64,14,1,place call citi brotherli love
1217,"Botanically speaking, what type of fruit is an avocado?",1,55,11,1,botan speak type fruit avocado
1220,Which of these NBA teams has a female owner?,1,44,10,1,nba team femal owner
1223,"In the film that bears his name, what is John Wick’s “casus belli”?",0,67,19,1,film bear name john wick casu belli
1226,"In pregnancy, the ECV method uses what to change the baby’s position?",0,69,16,1,pregnanc ecv method use chang babi posit
1229,The only rock song to exit our solar system in hard-copy form is by what artist?,0,80,17,1,rock song exit solar system form artist
1232,Which of these was the name of one of Gap's original fragrances?,0,64,14,1,name one gap origin fragranc
1235,"In 1958, a physicist used an oscilloscope to create what is considered the first what?",0,86,17,1,1958 physicist use oscilloscop creat consid first
1237,"According to Icelandic tradition, where would you most likely find an Icelandic elf?",0,84,15,1,accord iceland tradit would like find iceland elf
1239,Why did the Chicago Daily Tribune rush to print the wrong winner of the 1948 presidential election?,0,99,18,1,chicago daili tribun rush print wrong winner 1948 presidenti elect
1240,What are omelets made out of?,0,29,7,1,omelet made
1243,Which of these is a form of precipitation?,0,42,9,1,form precipit
1246,Which of these numbers is the smallest?,0,39,8,1,number smallest
1249,Where did the famous “gentleman’s agreement” to end the U.S. Civil War take place?,1,82,19,1,famou gentleman agreement end civil war take place
1252,Which name does NOT typically appear on the label of a bottle of Tabasco sauce?,1,79,16,1,name typic appear label bottl tabasco sauc
1255,"By definition, a vexillologist is most likely to be interested in which of these things?",0,88,17,1,definit vexillologist like interest thing
1257,The early computer program “OXO” played what game?,1,50,11,1,earli comput program oxo play game
1260,Which of these nations does NOT lie on the Gulf of Bothnia?,0,59,13,1,nation lie gulf bothnia
1263,"In the mid-’70s, who became Saturday Night Live’s first-ever musical guest?",0,75,17,1,70 becam saturday night live music guest
1266,Thomas Edison once set up a company to build affordable housing made out of what?,1,81,16,1,thoma edison set compani build afford hous made
1269,The most common English word that ends in “-mt” is closely tied to which activity?,0,82,18,1,common english word end close tie activ
1272,"When the world’s oldest subway system opened, which was one of the stations?",1,76,17,1,world oldest subway system open one station
1275,"In the old saying, when life gives you lemons you should do what?",0,65,15,1,old say life give lemon
1278,What implement would you use to sweep dust from a floor?,1,56,12,1,implement would use sweep dust floor
1281,Which of these sports does NOT typically use any kind of net?,0,61,13,1,sport typic use kind net
1284,Which company makes the TI-83 calculator?,0,41,7,1,compani make calcul
1287,"According to the U.S. government, which of these is correct?",1,60,12,1,accord govern correct
1290,Which of these is an official regulation for U.S. bourbon production?,0,69,12,1,offici regul bourbon product
1293,"Thanks to how the French language works, what is NATO called in France?",0,71,15,1,thank french languag work nato call franc
1296,What was the name of Calvin’s schoolteacher in the comic “Calvin and Hobbes”?,1,77,18,1,name calvin schoolteach comic calvin hobb
1299,Which of these words was used for a long time to refer to the letter “Z”?,1,73,19,1,word use long time refer letter z
1302,The lead singer of Oingo Boingo provided music for which of these films?,0,72,14,1,lead singer oingo boingo provid music film
1305,Which of these people has NOT given a Harvard Commencement speech?,0,66,12,1,peopl given harvard commenc speech
1308,"In Europe, the two largest Channel Islands lend their names to breeds of what animal?",0,85,17,1,europ two largest channel island lend name breed anim
1311,Which of these is a popular movie theater snack?,1,48,10,1,popular movi theater snack
1314,Which of these is a major landmark in China?,0,44,10,1,major landmark china
1317,Which of these singers is famous for playing the trumpet?,0,57,11,1,singer famou play trumpet
1320,Which dessert shares its name with a Korean food made with intestines?,0,70,13,1,dessert share name korean food made intestin
1323,Which of these Hugh Grant movies is rated R?,1,44,10,1,hugh grant movi rate r
1326,Which of these influential authors wrote the fewest published books?,0,68,11,1,influenti author wrote fewest publish book
1329,The Notorious B.I.G. shares his real last name with the lead character in which film?,1,85,17,2,notori share real last name lead charact film
1332,What was the first Disney Channel series to run for 100 episodes?,0,65,13,1,first disney channel seri run 100 episod
1335,Which of these iconic U.S. buildings did NOT have the same architect as the other two?,1,86,17,1,icon build architect two
1337,A men's size 10 shoe in the U.S. is what size in Japan?,0,55,15,1,men size 10 shoe size japan
1340,Chat app Airtime was launched by the founder of what startup?,1,61,12,1,chat app airtim launch founder startup
1343,"In 1943, Major League Baseball stopped using what material in game balls?",1,73,14,1,1943 major leagu basebal stop use materi game ball
1346,Pickles are typically made with what ingredient?,0,48,8,1,pickl typic made ingredi
1349,Where was Abraham Lincoln’s most famous address delivered?,0,58,11,1,abraham lincoln famou address deliv
1352,What does the “I” in “FBI” stand for?,0,37,13,1,fbi stand
1355,"In 1992, which band released a single named for an alkali metal?",0,64,14,1,1992 band releas singl name alkali metal
1358,"In the U.S. Daylight Saving Time system, which season falls under Standard Time?",0,80,15,1,daylight save time system season fall standard time
1361,Which of these degrees qualifies you for the NASA Astronaut Candidate program?,1,78,13,1,degre qualifi nasa astronaut candid program
1363,Which historically black college is named for a member of the Rockefeller family?,0,81,14,1,histor black colleg name member rockefel famili
1366,What nation’s currency shares its name with an iconic Sylvester Stallone character?,1,83,15,1,nation currenc share name icon sylvest stallon charact
1369,"In a pool hall, “firewood” is often used as slang for what?",1,59,16,1,pool hall firewood often use slang
1372,Korean pop music is often called what?,0,38,8,1,korean pop music often call
1375,A classic 1936 book about the Civil War is called “Gone with the” what?,0,71,17,1,classic 1936 book civil war call gone
1378,Antoni Gaudí's famous Sagrada Família cathedral can be found in what country?,0,77,14,1,antoni gaudí famou sagrada família cathedr found countri
1381,The classic version of the board game Operation asks players to remove a wrench from where?,0,91,17,1,classic version board game oper ask player remov wrench
1384,"In U.S. credit, what did FICO originally stand for?",1,51,11,1,credit fico origin stand
1387,Which of these Amazon services was launched most recently?,1,58,10,1,amazon servic launch recent
1390,Which of these countries did NOT change its name in the 20th century?,0,69,14,1,countri chang name 20th centuri
1393,"Thanks to its looks, a common European frog shares a name with what herb?",0,73,16,1,thank look common european frog share name herb
1396,Which of these schools had a future U.S. president officially serve as its president?,1,85,15,1,school futur presid offici serv presid
1398,Which animal does NOT appear on the St. Louis Cardinals' 2011 World Series rings?,0,81,16,1,anim appear loui cardin 2011 world seri ring
1401,Which of these gadgets is designed to help you wake up?,0,55,12,1,gadget design help wake
1404,"In a 1952 musical, Gene Kelly was “Singin’ in the” what?",0,56,16,1,1952 music gene kelli singin
1407,In which of these games do you yell the game's name when you win?,1,65,16,1,game yell game name win
1410,What is the name of the artistic logo renderings that appear on Google’s homepage?,0,82,17,1,name artist logo render appear googl homepag
1413,In which of these places do brides traditionally get temporary tattoos of grooms' initials?,1,91,16,1,place bride tradit get temporari tattoo groom initi
1416,"In a standard deck of playing cards, which king is holding an axe and facing sideways?",1,86,18,1,standard deck play card king hold axe face sideway
1418,"When used in cookbooks, maceration typically means doing what to food?",0,70,13,1,use cookbook macer typic mean food
1421,Which women’s college basketball team saw its record 111-game win streak snapped in 2017?,0,89,17,1,women colleg basketbal team saw record win streak snap 2017
1424,In which of these movies does the bootstrap paradox play a key role?,1,68,14,1,movi bootstrap paradox play key role
1427,Which of these Robin Williams characters is a real person?,0,58,11,1,robin william charact real person
1430,Which of these clothing companies went public first?,0,52,9,1,cloth compani went public first
1433,The host of the first season of “Top Chef” was once married to whom?,0,68,17,1,host first season top chef marri
1436,Which of these is a real Ivy League secret society?,1,51,11,1,real ivi leagu secret societi
1439,Which of these condiments was created by a monarch's personal chef?,0,67,13,1,condiment creat monarch person chef
1442,The first player featured on the cover of “Madden NFL” primarily played what position?,0,86,17,1,first player featur cover madden nfl primarili play posit
1445,"In the King James Bible, Job worries about the taste of what food?",0,66,15,1,king jame bibl job worri tast food
1448,"In the Styx song “Mr. Roboto,” the narrator's brain is made by what tech company?",0,81,21,2,styx song mr roboto narrat brain made tech compani
1451,Ross Perot once provided a $3 million credit line to help establish which chain?,1,80,16,1,ross perot provid 3 million credit line help establish chain
1454,Which piece of camping gear do people typically sleep in?,0,57,11,1,piec camp gear peopl typic sleep
1457,Which of these is widely used as a cleaning product?,0,52,11,1,wide use clean product
1460,What’s the correct spelling of the word for a high school’s chief administrator?,1,80,18,1,correct spell word high school chief administr
1463,"According to the National Weather Service, what differentiates a blizzard from a snowstorm?",1,91,15,1,accord nation weather servic differenti blizzard snowstorm
1465,"Thanks to its colorful buildings, which of these places is known as the “Pink City”?",0,84,19,1,thank color build place known pink citi
1467,Where would a doctor typically place a sphygmomanometer?,1,56,9,1,would doctor typic place sphygmomanomet
1470,Which of these was the name of an American political splinter group?,1,68,13,1,name american polit splinter group
1473,What does the PVC in PVC pipe stand for?,0,40,10,1,pvc pvc pipe stand
1476,A successful jeans designer shares her name with which of these buildings?,0,74,13,1,success jean design share name build
1479,How does the IRS tax the digital currency known as Bitcoin?,0,59,12,1,ir tax digit currenc known bitcoin
1482,"Before creating his own successful fast food operation, Dave Thomas worked for what chain?",0,90,16,1,creat success fast food oper dave thoma work chain
1485,Which pair of countries have capital cities that start with the same letter?,1,76,14,1,pair countri capit citi start letter
1487,What genre of book typically contains a person's life story?,0,60,12,1,genr book typic contain person life stori
1490,Actor John Wayne is most famous for playing what kind of character?,1,67,13,1,actor john wayn famou play kind charact
1493,Edgar Allan Poe’s raven famously repeats what word?,1,51,11,1,edgar allan poe raven famous repeat word
1496,The Cascade Range runs through which of these states?,0,53,10,1,cascad rang run state
1499,“Long pimples” is slang for equipment in which sport?,0,53,12,1,long pimpl slang equip sport
1502,"On Disneyland’s first day in 1955, which attraction was NOT present?",1,68,15,1,disneyland first day 1955 attract present
1505,Loyola University’s “Madagascar Madness” is an annual race of what animal?,1,74,16,1,loyola univers madagascar mad annual race anim
1508,Which artist reportedly got his signature look after leaving his regular glasses on a plane?,0,92,16,1,artist reportedli got signatur look leav regular glass plane
1511,"Around since 1996, which of these is one of the first-generation Pokémon?",0,73,14,1,around sinc 1996 one pokémon
1514,"If a pair of brothers marries a pair of sisters, what would a genealogist call their kids?",1,90,19,1,pair brother marri pair sister would genealogist call kid
1516,Which movie starring the rapper DMX is adapted from a novel?,1,60,12,1,movi star rapper dmx adapt novel
1519,Which of the following is NOT one of the eight primary ingredients in V8?,0,73,15,1,follow one eight primari ingredi v8
1522,What is the line dividing Earth into northern and southern hemispheres called?,0,78,13,1,line divid earth northern southern hemispher call
1525,The Zambezi River can be found on which of these continents?,0,60,12,1,zambezi river found contin
1528,Which of these refers to a blend of spices?,0,43,10,1,refer blend spice
1531,The giant panda’s scientific name is generally translated to “black and white” what?,0,84,18,1,giant panda scientif name gener translat black white
1534,Which of these body parts contains the islets of Langerhans?,0,60,11,1,bodi part contain islet langerhan
1537,Which of these innovators has appeared on the Italian 1000-lire note?,1,69,12,1,innov appear italian note
1540,Whitney Houston’s debut album contains two duets with whom?,0,59,12,1,whitney houston debut album contain two duet
1543,"Posted by the co-founder, the first-ever photo on Instagram featured what filter?",0,81,14,1,post photo instagram featur filter
1546,The place where your umbilical cord used to be is called what?,0,62,13,1,place umbil cord use call
1549,"In chess, which piece is typically the least powerful?",0,54,11,1,chess piec typic least power
1552,What is an infant koala called?,1,31,7,1,infant koala call
1555,What dance traditionally incorporates a technique called palmas?,0,64,9,1,danc tradit incorpor techniqu call palma
1558,What did the “S” in Ulysses S. Grant’s name stand for?,0,54,16,1,ulyss grant name stand
1561,A nebulizer helps administer medical treatment in what form?,1,60,10,1,nebul help administ medic treatment form
1564,Which of these brand mascots is usually seen in footwear?,0,57,11,1,brand mascot usual seen footwear
1567,Which of these shows has NOT won a Golden Globe?,0,48,11,1,show golden globe
1570,Which of these skincare products is in the Smithsonian?,0,55,10,1,skincar product smithsonian
1573,What company's bankruptcy led Congress to create the Pension Benefit Guaranty Corporation?,0,90,14,1,compani bankruptci led congress creat pension benefit guaranti corpor
1576,Which of these films was NOT made by Japan's legendary Studio Ghibli?,0,69,14,1,film made japan legendari studio ghibli
1579,"Which writer is credited with first penning the phrase, “Elementary, my dear Watson”?",1,85,18,1,writer credit first pen phrase elementari dear watson
1582,Which is a typical room in a suburban family home?,1,50,11,1,typic room suburban famili home
1585,Which haircut are male recruits most likely to get after joining the Army?,0,74,14,1,haircut male recruit like get join armi
1588,"To calculate the mathematical constant pi, divide the circumference of a circle by its what?",1,92,17,1,calcul mathemat constant pi divid circumfer circl
1591,Which vessels draw blood away from the heart?,0,45,9,1,vessel draw blood away heart
1594,Which of these is most likely to be worn in a traditional Bavarian outfit?,1,74,15,1,like worn tradit bavarian outfit
1597,Which of these groups was initially created to stop currency counterfeiting?,0,76,12,1,group initi creat stop currenc counterfeit
1600,"In a 2000 film, Ed Harris played a painter most closely associated with what art movement?",0,90,18,1,2000 film ed harri play painter close associ art movement
1602,“The cake is a lie” is a catchphrase originating in what hit video game?,1,72,17,1,cake lie catchphras origin hit video game
1605,Which is generally NOT a business expense you can claim on U.S. federal taxes?,1,78,15,1,gener busi expens claim feder tax
1608,What African country has a capital named for a U.S. president?,1,62,12,1,african countri capit name presid
1611,Which of these sports has the most players per team?,0,52,11,1,sport player per team
1614,What phrase does NOT appear in the lyrics of the rock classic “American Pie?”,0,77,17,1,phrase appear lyric rock classic american pie
1617,Which of these do you usually need a ticket to enter?,0,53,12,1,usual need ticket enter
1620,"In the U.S., what do students typically complete right before going to college?",1,79,15,1,student typic complet right go colleg
1623,Which of these pies is typically made with a graham cracker crust?,0,66,13,1,pie typic made graham cracker crust
1626,Which term is commonly used to refer to completely non-functional computer hardware?,0,84,13,1,term commonli use refer complet comput hardwar
1629,Which species is NOT one of humanity’s two closest living relatives?,1,68,14,1,speci one human two closest live rel
1632,Which of these is the name of a Beatle AND a New Testament Gospel?,0,66,15,1,name beatl new testament gospel
1635,Which of these grocery store chains is owned by a German family?,0,64,13,1,groceri store chain own german famili
1638,Which of these self-proclaimed seers also wrote a well-known cookbook?,0,70,11,1,seer also wrote cookbook
1641,A Londoner born within earshot of the St. Mary-le-Bow bells is said to be what?,0,79,16,1,london born within earshot bell said
1644,Which of these must you enter to sail from the Black Sea to the Mediterranean?,0,78,16,1,must enter sail black sea mediterranean
1647,What is the best-selling single-platform video game of all time?,0,64,11,1,video game time
1650,Which of these characters has appeared in the most episodes of television?,1,74,13,1,charact appear episod televis
1653,Which of these is a planet in our solar system?,0,47,11,1,planet solar system
1656,A common metaphor for an unpleasant subject is having what animal “in the room”?,0,80,17,1,common metaphor unpleas subject anim room
1659,Which letter of the alphabet often acts as either a consonant or a vowel?,0,73,15,1,letter alphabet often act either conson vowel
1662,"Among U.S. state capitals, what is unique about Vermont’s?",0,58,13,1,among state capit uniqu vermont
1665,Which of theses video games is an example of an augmented-reality game?,0,71,13,1,these video game exampl game
1668,“Posse cut” is common terminology in what profession?,0,53,11,1,poss cut common terminolog profess
1671,Which of these places is geographically classified as an enclave?,0,65,11,1,place geograph classifi enclav
1674,Which of these people is NOT credited as one of the discoverers of calculus?,0,76,15,1,peopl credit one discover calculu
1677,What nation’s unit of currency shares its spelling with a past-tense English verb?,1,82,16,1,nation unit currenc share spell english verb
1680,What legendary singer has a son who has directed a Will Ferrell movie?,0,70,14,1,legendari singer son direct ferrel movi
1683,What is a photo you take of yourself commonly known as?,1,55,12,1,photo take commonli known
1686,"As the old saying goes, when all you've got is a hammer, everything looks like a what?",0,86,21,1,old say goe got hammer everyth look like
1689,Which of these is NOT a nickname for the NCAA Division I basketball tournament?,0,79,15,1,nicknam ncaa divis basketbal tournament
1692,Tricking someone in order to achieve a goal is an act of what?,0,62,14,1,trick someon order achiev goal act
1695,What are the two cities in Charles Dickens’ “A Tale of Two Cities”?,0,67,17,1,two citi charl dicken tale two citi
1698,Which of these birds can fly?,1,29,7,1,bird fli
1701,"According to legend, what documents were once nailed to the door of the Wittenberg Church?",0,90,17,1,accord legend document nail door wittenberg church
1703,Which of these is NOT a common English meaning of the Spanish word “mañana”?,0,76,17,1,common english mean spanish word mañana
1706,"According to Emily Post, what is the ONLY fork placed on the right side of the plate?",1,85,19,1,accord emili post fork place right side plate
1709,The word “wisdom” is often used as a term to refer to a group of what animal?,0,77,20,1,word wisdom often use term refer group anim
1712,Which of these island groups is noteworthy for belonging to two different countries?,0,84,14,1,island group noteworthi belong two differ countri
1714,Which of these was a real video game title featured in arcades in the 1980s?,0,76,16,1,real video game titl featur arcad 1980
1717,"According to legend, what did St. Patrick drive out of Ireland?",1,63,13,1,accord legend patrick drive ireland
1720,A lifeguard is most likely to keep watch over what?,1,51,11,1,lifeguard like keep watch
1723,Which physical activity is performed in a space known as a “box”?,0,65,15,1,physic activ perform space known box
1726,Which of these is a real-life world-champion female fighter in the UFC?,1,71,13,1,femal fighter ufc
1729,Which swimsuit style was named after a coral reef?,0,50,10,1,swimsuit style name coral reef
1732,Which of these universities has produced the most Heisman Trophy winners?,1,73,12,1,univers produc heisman trophi winner
1735,Which Spanish word is NOT a rhyme in the hit 2017 song “Despacito”?,1,67,16,1,spanish word rhyme hit 2017 song despacito
1738,"Oslo, Norway is home to a museum featuring thousands of what mini items?",0,72,15,1,oslo norway home museum featur thousand mini item
1741,The famed opera “Fidelio” has the same composer as what work?,1,61,14,1,fame opera fidelio compos work
1744,The CEO of Domino’s came to the company after working with what kind of food?,0,77,18,1,ceo domino came compani work kind food
1747,Which of these is NOT the name of a trick in competitive yo-yoing?,0,66,14,1,name trick competit
1750,Which memorable word from “The Simpsons” also appears in Shakespeare’s “Richard II”?,0,84,19,1,memor word simpson also appear shakespear richard ii
1753,The liquid often used to disinfect hands is known as what?,0,58,12,1,liquid often use disinfect hand known
1756,Which of these is most likely to emit lava?,0,43,10,1,like emit lava
1759,"In the U.S., which of these beverages typically contains espresso?",0,66,12,1,beverag typic contain espresso
1762,Queen Elizabeth II has famously kept what kind of dog as a pet for decades?,0,75,16,1,queen elizabeth ii famous kept kind dog pet decad
1765,"Big Major Cay, located on the eastern side of the Bahamas, is famous for what?",0,78,18,1,big major cay locat eastern side bahama famou
1767,"According to his own writings, how did St. Patrick first arrive in Ireland?",1,75,15,1,accord write patrick first arriv ireland
1769,What was the inspiration behind the iconic Cartier “Love Bracelet”?,0,67,13,1,inspir behind icon cartier love bracelet
1772,Which of these emperors' names translates in English to a small kind of footwear?,0,81,16,1,emperor name translat english small kind footwear
1775,Which pop star appeared in the original film version of “Hairspray”?,1,68,14,1,pop star appear origin film version hairspray
1778,Which of these states does NOT currently have an In-N-Out?,1,58,11,1,state current
1781,The co-creators of Kazaa also helped develop which product?,1,59,10,1,kazaa also help develop product
1784,Which of these screenwriters once co-wrote the script for a flop SNL film?,0,74,14,1,screenwrit script flop snl film
1787,"In the kids’ song, “if you’re happy and you know it,” you do what?",0,66,22,1,kid song happi know
1790,What TV show title would you say after clinking glasses for a toast?,0,68,14,1,tv show titl would say clink glass toast
1793,"When it comes to college sports, what does the first “A” stand for in NCAA?",0,75,19,1,come colleg sport first stand ncaa
1796,Which of these pleasantly-scented plants is part of the mint family?,0,68,12,1,plant part mint famili
1799,"Which of these is the name of a real, finch-like songbird?",0,58,13,1,name real songbird
1802,Norman Rockwell’s iconic Four Freedoms series contains a famous scene set where?,0,80,15,1,norman rockwel icon four freedom seri contain famou scene set
1805,Which of these is suggested in the Lamaze method of giving birth?,1,65,13,1,suggest lamaz method give birth
1807,Which of these symbols appears on the dice in Milton Bradley's Jumanji board game?,0,82,16,1,symbol appear dice milton bradley jumanji board game
1810,The Kuiper Belt is home to which of these bodies?,0,49,11,1,kuiper belt home bodi
1813,"In the 1960s, Radio Shack was purchased by a company specializing in what?",0,74,15,1,1960 radio shack purchas compani special
1816,The protagonist of what classic novel is named after a real-life fireman?,1,73,13,1,protagonist classic novel name fireman
1818,What was Galileo sentenced to do as punishment for writing about heliocentrism?,0,79,13,1,galileo sentenc punish write heliocentr
1821,Which of these is a German clock with a bird inside?,0,52,12,1,german clock bird insid
1824,Which of these is an optional section on the SAT standardized test?,0,67,13,1,option section sat standard test
1827,Which article of clothing is also the name of a stinging insect?,0,64,13,1,articl cloth also name sting insect
1830,Which of these is NOT an ingredient in a traditional Chicago-style hot dog?,1,75,14,1,ingredi tradit hot dog
1833,"What term is often used to describe overly ornate, flowery writing?",0,67,13,1,term often use describ overli ornat floweri write
1836,"In the tech world, the acronym “IoT” typically stands for what?",0,63,15,1,tech world acronym iot typic stand
1839,What traditional stew inspired the 1930s invention of the slow cooker?,0,70,12,1,tradit stew inspir 1930 invent slow cooker
1842,What is the only U.S. state home to two Ivy League schools?,1,59,13,1,state home two ivi leagu school
1845,The defunct channel Court TV briefly owned what popular website?,1,64,11,1,defunct channel court tv briefli own popular websit
1848,The Marvin Gaye hit “What’s Going On” featured backup vocals by members of what team?,0,85,20,1,marvin gay hit go featur backup vocal member team
1850,"In the U.S., light intensity is often measured with a unit named what?",0,70,15,1,light intens often measur unit name
1853,Which of these monuments lends its name to a common domestic chicken breed?,0,75,14,1,monument lend name common domest chicken breed
1856,Which of these was NOT a phone made by BlackBerry?,0,50,11,1,phone made blackberri
1859,The first flag of which state contained the Latin for “don’t touch me”?,0,71,18,1,first flag state contain latin touch
1862,Which company is listed on both the Dow Jones Industrial Average and the NASDAQ-100?,0,84,15,1,compani list dow jone industri averag
1865,Which of these is NOT the name of a geographical feature on the Moon?,0,69,15,1,name geograph featur moon
1868,What was the prime reason for the 14th-century leadership crisis in the Catholic church?,1,88,15,1,prime reason leadership crisi cathol church
1870,Which fashion designer did NOT graduate from the prestigious Central Saint Martins?,0,83,13,1,fashion design graduat prestigi central saint martin
1873,Which skin mark is most likely to come and go with the seasons?,0,63,14,1,skin mark like come go season
1876,Which of these is traditionally a layer in a Nanaimo bar?,0,57,12,1,tradit layer nanaimo bar
1879,Which of these films does NOT share a name with a NASA space probe?,0,67,15,1,film share name nasa space probe
1882,Which of these authors has a supermodel granddaughter?,0,54,9,1,author supermodel granddaught
1885,Which of these animals is NOT known for being able to reproduce without a male partner?,0,87,17,1,anim known abl reproduc without male partner
1887,Which character appears in the Shakespeare play whose title comes first alphabetically?,0,87,13,1,charact appear shakespear play whose titl come first alphabet
1890,What meal combines elements of breakfast and lunch?,0,51,9,1,meal combin element breakfast lunch
1893,What is the name of the roller coaster feature that takes riders around in a complete circle?,0,93,18,1,name roller coaster featur take rider around complet circl
1895,What is a common symptom of a deviated septum?,1,46,10,1,common symptom deviat septum
1898,Who is the youngest current Supreme Court Justice?,0,50,9,1,youngest current suprem court justic
1901,The military unit responsible for the Pope’s safety is composed of citizens of what country?,1,92,18,1,militari unit respons pope safeti compos citizen countri
1904,“Zen and the Art of Motorcycle Maintenance” gets its name from an earlier book about what?,1,90,19,1,zen art motorcycl mainten get name earlier book
1907,An annual holiday at Emory University features students being let out of class by what?,1,87,16,1,annual holiday emori univers featur student let class
1910,Which of these cities was founded two separate times?,0,53,10,1,citi found two separ time
1913,Which concept is at the core of a dance style named for Martha Graham?,1,70,15,1,concept core danc style name martha graham
1916,Which of these is NOT a breed of duck?,1,38,10,1,breed duck
1919,Which of these is the name of one of the moons of the largest planet in our solar system?,1,89,20,1,name one moon largest planet solar system
1922,What startup's name came from the co-founder watching a Fellini movie?,0,70,13,1,startup name came watch fellini movi
1925,The Girl Scouts hold an annual fundraiser by selling what?,0,58,11,1,girl scout hold annual fundrais sell
1928,Which of these is a popular breakfast item served with maple syrup?,0,67,13,1,popular breakfast item serv mapl syrup
1931,Ben &amp; Jerry’s Cherry Garcia flavor is a pun on the lead singer of what band?,1,80,21,1,ben amp jerri cherri garcia flavor pun lead singer band
1934,Which of these basketball terms is also a measurement of computer performance?,1,78,13,1,basketbal term also measur comput perform
1937,"What phrase completes the old English rhyme that begins, “Something old, something new”?",0,88,18,1,phrase complet old english rhyme begin someth old someth new
1939,Which of these dogs falls into the American Kennel Club’s “Working Group”?,0,74,17,1,dog fall american kennel club work group
1942,Which of these long-ago empires originated in North Africa?,1,59,10,1,empir origin north africa
1945,Jane Morgan was a nom de plume for the author of which of these works?,0,70,16,1,jane morgan nom de plume author work
1948,"Once a body of water, which of these regions is now dried out?",1,62,15,1,bodi water region dri
1951,"In the Bible, which son of Jacob has the same mother as Joseph?",1,63,15,1,bibl son jacob mother joseph
1954,Which of these is NOT the nickname of a World Darts Champion?,0,61,13,1,nicknam world dart champion
1957,Which of these words is believed to come from a European dice game?,0,67,14,1,word believ come european dice game
1960,"In the U.S., a massive amount of gold is kept where?",0,52,13,1,massiv amount gold kept
1963,"By definition, what type of singing is usually done without any instrumental accompaniment?",0,91,15,1,definit type sing usual done without instrument accompani
1965,Which of these is the name of an actual room in the White House?,1,64,15,1,name actual room white hous
1968,What is the name for a word that came directly into English from another language?,0,82,16,1,name word came directli english anoth languag
1971,What is the official language of the tiny nation between France and Spain?,1,74,14,1,offici languag tini nation franc spain
1974,"Technically, all licensed U.S. dentists are also officially what?",0,65,11,1,technic licens dentist also offici
1977,Which of these people is most likely to have a mutation in their melanocortin-1 receptor?,1,89,16,1,peopl like mutat receptor
1980,Which of these teams won a Stanley Cup before the NHL was founded?,1,66,14,1,team stanley cup nhl found
1983,Which of these television shows was NOT based on a British series?,1,66,13,1,televis show base british seri
1986,The terms of Amazon's web services contain a clause regarding potential attacks by what?,1,88,16,1,term amazon web servic contain claus regard potenti attack
1989,What distinction does airline Handley Page Transport have?,0,58,9,1,distinct airlin handley page transport
1992,Which of these famous TV judges got their start in criminal court?,0,66,13,1,famou tv judg got start crimin court
1995,Hydroelectric power generates electricity from what?,0,52,7,1,hydroelectr power gener electr
1998,American folk hero &amp; apple enthusiast John Chapman was known by what nickname?,0,82,16,1,american folk hero amp appl enthusiast john chapman known nicknam
2000,"By definition, a person who is ambidextrous is able to do what?",1,63,14,1,definit person ambidextr abl
2003,The classic book “The Grapes of Wrath” is about a family's journey to what state?,0,81,19,1,classic book grape wrath famili journey state
2006,In which of these sports do competitors often wear jodhpurs?,0,60,11,1,sport competitor often wear jodhpur
2009,Moore’s Law is a famous observation that concerns what?,0,55,12,1,moor law famou observ concern
